"","X","Island_Name","RasterAddress_1km","DepthBin_5m","Depth_m_mn","Longitude_mn","Latitude_mn","Longitude_ras","Latitude_ras","AreaSurveyed_m2_sum","PercentLiveCoralCover_mean","PercentLiveCoralCover_sd","PercentLiveCoralCover_N","PctCoralUnbleached_mean","PctCoralUnbleached_sd","PctCoralUnbleached_N","PctCoralPartialBleached_mean","PctCoralPartialBleached_sd","PctCoralPartialBleached_N","PctCoralFullyBleached_mean","PctCoralFullyBleached_sd","PctCoralFullyBleached_N","PctAffected_mean","PctAffected_sd","PctAffected_N","DHW_v2_20151101","DHW_v3_20151101","DHW_MUR_20141101","DHW_MUR_20151101","Prop_BleachResTaxa","optional"
"1",1,"Hawaii",35008,"(10,15]",10.636966812768,-155.89708235,20.1465357198444,-155.896544490426,20.14492797,2210.4,17.5,NA,2,60.195,0.275771644662754,2,20.48,13.4633131137919,2,19.325,13.1875414691291,2,39.805,0.275771644662754,2,6.37999985739589,11.1576271057129,2.48586824438074,15.7517333397499,8.82120116432765,TRUE
"2",2,"Hawaii",35008,"(5,10]",9.700001120412,-155.89681275,20.1465357198444,-155.896544490426,20.143157235,3504.4,25,7.07106781186548,2,55,14.142135623731,2,27.5,10.6066017177982,2,17.5,3.53553390593274,2,45,14.142135623731,2,6.37999985739589,11.1576271057129,2.48586824438074,15.7517333397499,7.55842696453663,TRUE
"3",3,"Hawaii",35243,"(10,15]",10.546452670584,-155.89553515,20.1375105058366,-155.896544490426,20.140252335,3240.9,18.75,12.3743686707646,2,53.75,1.76776695296637,2,33.75,1.76776695296637,2,12.5,3.53553390593274,2,46.25,1.76776695296637,2,6.37999985739589,11.1576271057129,2.4915380687504,15.6924591595437,1.33541167435423,TRUE
"4",4,"Hawaii",35243,"(5,10]",9.758097323244,-155.89420635,20.1375105058366,-155.896544490426,20.137036415,7780.7,25,7.35980072193987,4,57.625,7.05189099934668,4,36.25,3.22748612183951,4,6.125,4.25,4,42.375,7.05189099934668,4,6.37999985739589,11.1576271057129,2.4915380687504,15.6924591595437,4.28935776410093,TRUE
"5",5,"Hawaii",35478,"(5,10]",9.590937759672,-155.892466,20.1284852918288,-155.896544490426,20.1325657,2064.5,35,NA,1,57.5,NA,1,32.5,NA,1,10,NA,1,42.5,NA,1,6.37999985739589,11.1576271057129,2.5022750896412,15.4937246008234,7.48174160954866,TRUE
"6",6,"Hawaii",35714,"(5,10]",7.89985000698,-155.888179216667,20.119460077821,-155.887530491702,20.11923185,12743.1,37.9166666666667,11.3376217376779,6,50.8333333333333,9.44281031614353,6,32.5,5.47722557505166,6,16.6666666666667,5.40061724867322,6,49.1666666666667,9.44281031614353,6,6.37999985739589,11.1576271057129,2.51190722119677,15.2610335926433,8.67786882558864,TRUE
"7",7,"Hawaii",35949,"(5,10]",8.93827974114,-155.884882925,20.1104348638132,-155.887530491702,20.112501175,7440.2,38.75,4.33012701892219,4,50.625,11.25,4,31.25,9.24211375534118,4,18.125,5.54338945652086,4,49.375,11.25,4,6.37999985739589,11.1576271057129,2.38009895212921,14.7974779541239,9.90515624096488,TRUE
"8",8,"Hawaii",36184,"(10,15]",11.035793406912,-155.8840706,20.1014096498054,-155.887530491702,20.10587233,2076.1,25,NA,1,48.5,NA,1,45,NA,1,6.5,NA,1,51.5,NA,1,6.37999985739589,11.1576271057129,2.38003902784634,14.7323911911402,9.87458029030758,TRUE
"9",9,"Hawaii",36185,"(5,10]",9.202708580328,-155.8807294,20.1014096498054,-155.878516492979,20.101723108,11037.2,33.5,4.18330013267038,5,53.4,2.32916293977042,5,41,2.85043856274784,5,5.6,1.78185296812055,5,46.6,2.32916293977042,5,6.37999985739589,11.1576271057129,2.38003902784634,14.7323911911402,8.99419133614535,TRUE
"10",10,"Hawaii",36420,"(10,15]",10.668,-155.87549,20.0923844357977,-155.878516492979,20.09202,20,NA,NA,1,49.09,NA,1,14.55,NA,1,36.36,NA,1,50.91,NA,1,6.41999985650182,13.2415609359741,2.38289921100323,14.979714687054,9.24633174944231,TRUE
"11",11,"Hawaii",36420,"(5,10]",9.144500244624,-155.8770398,20.0923844357977,-155.878516492979,20.095082405,8372.1,23.125,3.14576434802948,4,50,4.56435464587638,4,40.625,2.39356776939085,4,9.375,2.39356776939085,4,50,4.56435464587638,4,6.41999985650182,13.2415609359741,2.38289921100323,14.979714687054,2.99294264297383,TRUE
"12",12,"Hawaii",36656,"(10,15]",10.558590144912,-155.86861165,20.0833592217899,-155.869502494255,20.082332665,5071,37.5,10.6066017177982,2,41.25,1.76776695296637,2,40,3.53553390593274,2,18.75,5.30330085889911,2,58.75,1.76776695296637,2,6.41999985650182,13.2415609359741,2.23428092229934,14.739110653217,2.55196456973084,TRUE
"13",13,"Hawaii",36656,"(5,10]",9.455258319576,-155.869607,20.0833592217899,-155.869502494255,20.0840715866667,8501.3,40,4.33012701892219,3,47.5,6.61437827766148,3,35.8333333333333,8.0363756341608,3,16.6666666666667,2.88675134594813,3,52.5,6.61437827766148,3,6.41999985650182,13.2415609359741,2.23428092229934,14.739110653217,9.5315728332877,TRUE
"14",14,"Hawaii",36891,"(5,10]",8.92526946744,-155.8654489,20.0743340077821,-155.869502494255,20.07741916,2605,52.5,NA,1,40,NA,1,35,NA,1,25,NA,1,60,NA,1,6.41999985650182,13.2415609359741,2.09643313229739,14.5350696284256,9.5227924936158,TRUE
"15",15,"Hawaii",36892,"(10,15]",14.0208,-155.86452,20.0743340077821,-155.860488495532,20.07392,20,NA,NA,2,48.7,3.95979797464467,2,19.35,2.33345237791561,2,32.35,6.29325035256027,2,51.7,3.95979797464467,2,6.41999985650182,13.2415609359741,1.95299905560392,14.5103593588749,9.15083668211031,TRUE
"16",16,"Hawaii",36892,"(5,10]",9.204285959952,-155.86051518,20.0743340077821,-155.860488495532,20.072935846,11824.4,32.5,5,5,37.5,6.37377439199098,5,33.5,4.18330013267038,5,29,5.47722557505166,5,62.5,6.37377439199098,5,6.41999985650182,13.2415609359741,1.95299905560392,14.5103593588749,6.46084450278265,TRUE
"17",17,"Hawaii",37127,"(5,10]",8.768640233328,-155.8563365,20.0653087937743,-155.860488495532,20.06831287,2076.5,25,NA,1,35,NA,1,32.5,NA,1,32.5,NA,1,65,NA,1,6.41999985650182,13.2415609359741,1.95299905560392,14.5103593588749,0.93805325354889,TRUE
"18",18,"Hawaii",37128,"(10,15]",10.738136660088,-155.8524743,20.0653087937743,-155.851474496808,20.06340483,6153.6,25.8333333333333,1.44337567297406,3,40.8333333333333,3.81881307912987,3,20.8333333333333,3.81881307912987,3,38.3333333333333,1.44337567297406,3,59.1666666666667,3.81881307912987,3,6.41999985650182,13.2415609359741,1.9532196694678,14.1927360681387,0.829566276373819,TRUE
"19",19,"Hawaii",37128,"(5,10]",8.758248057516,-155.85351525,20.0653087937743,-155.851474496808,20.064610545,4346,26.25,1.76776695296637,2,41.25,1.76776695296637,2,17.5,3.53553390593274,2,41.25,5.30330085889911,2,58.75,1.76776695296637,2,6.41999985650182,13.2415609359741,1.9532196694678,14.1927360681387,5.27282999008723,TRUE
"20",20,"Hawaii",37363,"(10,15]",13.716,-155.8487678,20.0562835797665,-155.851474496808,20.05939339,30,NA,NA,1,25.43151943,NA,1,39.37263923,NA,1,35.19584133,NA,1,74.57,NA,1,6.41999985650182,13.2415609359741,1.9532196694678,14.1927360681387,0.968647590598296,TRUE
"21",21,"Hawaii",37363,"(5,10]",8.326454763624,-155.848324466667,20.0562835797665,-155.851474496808,20.05960791,4291.2,32.5,0,3,25.1932036433333,6.28608789060349,3,31.36599705,8.94889811355712,3,43.4407993066667,2.70061482004995,3,74.8066666666667,6.28586774704442,3,6.41999985650182,13.2415609359741,1.9532196694678,14.1927360681387,0.868224767536024,TRUE
"22",22,"Hawaii",37364,"(5,10]",8.892650237784,-155.8460193,20.0562835797665,-155.842460498085,20.05752677,2181.8,30,NA,1,42.5,NA,1,20,NA,1,37.5,NA,1,57.5,NA,1,6.41999985650182,13.2415609359741,1.9532196694678,14.1927360681387,10.4285642086676,TRUE
"23",23,"Hawaii",37599,"(5,10]",8.8392,-155.84073,20.0472583657588,-155.842460498085,20.05033,20,NA,NA,1,36.88,NA,1,17.02,NA,1,46.1,NA,1,63.12,NA,1,9.13999979570508,12.5834693908691,1.9516611120203,14.0254193945245,8.43280634891454,TRUE
"24",24,"Hawaii",37835,"(10,15]",13.716,-155.8371419,20.038233151751,-155.833446499362,20.03566884,30,NA,NA,1,16.52844232,NA,1,37.57398547,NA,1,45.89757221,NA,1,83.47,NA,1,9.13999979570508,12.5834693908691,1.9516611120203,14.0254193945245,8.80443423079956,TRUE
"25",25,"Hawaii",37835,"(5,10]",6.096,-155.8366193,20.038233151751,-155.833446499362,20.03571024,30,NA,NA,1,8.573521059,NA,1,36.48372343,NA,1,54.94275551,NA,1,91.43,NA,1,9.13999979570508,12.5834693908691,1.9516611120203,14.0254193945245,9.19111764768718,TRUE
"26",26,"Hawaii",38305,"(10,15]",13.716,-155.8312052,20.0201827237354,-155.833446499362,20.02040296,30,NA,NA,1,23.66495303,NA,1,48.50065055,NA,1,27.83439642,NA,1,76.34,NA,1,9.13999979570508,12.5834693908691,1.65756783747411,14.4353113202385,10.4970713922923,TRUE
"27",27,"Hawaii",38305,"(5,10]",6.096,-155.8299388,20.0201827237354,-155.833446499362,20.02049558,30,NA,NA,1,8.867117098,NA,1,39.90206144,NA,1,51.23082146,NA,1,91.13,NA,1,9.13999979570508,12.5834693908691,1.65756783747411,14.4353113202385,10.7294542955438,TRUE
