"","Island_Name","RasterAddress_500m","DepthBin_5m","Depth_m_mn","Longitude_mn","Latitude_mn","Longitude_ras","Latitude_ras","AreaSurveyed_m2_sum","PercentLiveCoralCover_mean","PercentLiveCoralCover_sd","PercentLiveCoralCover_N","PctCoralUnbleached_mean","PctCoralUnbleached_sd","PctCoralUnbleached_N","PctCoralPartialBleached_mean","PctCoralPartialBleached_sd","PctCoralPartialBleached_N","PctCoralFullyBleached_mean","PctCoralFullyBleached_sd","PctCoralFullyBleached_N","PctAffected_mean","PctAffected_sd","PctAffected_N"
"1","Hawaii",140045,"(10,15]",10.605933625536,-155.8972047,NA,NA,20.14571594,2194.3,17.5,NA,1,60,NA,1,30,NA,1,10,NA,1,40,NA,1
"2","Hawaii",140515,"(10,15]",10.668,-155.89696,NA,NA,20.14414,16.1,NA,NA,1,60.39,NA,1,10.96,NA,1,28.65,NA,1,39.61,NA,1
"3","Hawaii",140515,"(5,10]",9.700001120412,-155.89681275,NA,NA,20.143157235,3504.4,25,7.07106781186548,2,55,14.142135623731,2,27.5,10.6066017177982,2,17.5,3.53553390593274,2,45,14.142135623731,2
"4","Hawaii",140516,"(10,15]",10.56500029008,-155.8962418,NA,NA,20.14135004,1392,27.5,NA,1,55,NA,1,35,NA,1,10,NA,1,45,NA,1
"5","Hawaii",140516,"(5,10]",9.65690026224,-155.8958805,NA,NA,20.14018811,1382.6,20,NA,1,47.5,NA,1,40,NA,1,12.5,NA,1,52.5,NA,1
"6","Hawaii",140986,"(10,15]",10.527905051088,-155.8948285,NA,NA,20.13915463,1848.9,10,NA,1,52.5,NA,1,32.5,NA,1,15,NA,1,47.5,NA,1
"7","Hawaii",140986,"(5,10]",9.424353195204,-155.89377945,NA,NA,20.13684704,4201.1,23.75,8.83883476483184,2,61,3.53553390593274,2,35,3.53553390593274,2,4,0,2,39,3.53553390593274,2
"8","Hawaii",141456,"(5,10]",9.77166345918,-155.892926,NA,NA,20.133414585,4261.5,33.75,1.76776695296637,2,59.25,2.47487373415292,2,33.75,1.76776695296637,2,7,4.24264068711928,2,40.75,2.47487373415292,2
"9","Hawaii",142397,"(5,10]",7.709608893432,-155.8906466,NA,NA,20.12280433,2389.2,27.5,NA,1,62.5,NA,1,25,NA,1,12.5,NA,1,37.5,NA,1
"10","Hawaii",142867,"(5,10]",8.475625224744,-155.888302666667,NA,NA,20.11968612,6373.6,38.3333333333333,9.46484724300046,3,53.3333333333333,3.81881307912987,3,31.6666666666667,3.81881307912987,3,15,5,3,46.6666666666667,3.81881307912987,3
"11","Hawaii",143338,"(5,10]",8.523110897616,-155.886130725,NA,NA,20.1153359875,7553.5,41.875,10.6800046816469,4,41.875,8.00390529679106,4,36.25,8.53912563829967,4,21.875,3.75,4,58.125,8.00390529679106,4
"12","Hawaii",143808,"(5,10]",7.826809725324,-155.88426475,NA,NA,20.11109458,3867,36.25,1.76776695296637,2,58.75,1.76776695296637,2,27.5,0,2,13.75,1.76776695296637,2,41.25,1.76776695296637,2
"13","Hawaii",144278,"(10,15]",11.035793406912,-155.8840706,NA,NA,20.10587233,2076.1,25,NA,1,48.5,NA,1,45,NA,1,6.5,NA,1,51.5,NA,1
"14","Hawaii",144279,"(5,10]",8.458727496792,-155.8829609,NA,NA,20.1043288,2161.4,30,NA,1,50,NA,1,45,NA,1,5,NA,1,50,NA,1
"15","Hawaii",144749,"(5,10]",9.483166923144,-155.8806204,NA,NA,20.1018861366667,6754.9,35,5,3,54,1.80277563773199,3,40.8333333333333,1.44337567297406,3,5.16666666666667,2.02072594216369,3,46,1.80277563773199,3
"16","Hawaii",145219,"(5,10]",8.763682732956,-155.8787398,NA,NA,20.097681595,4538.1,26.25,8.83883476483184,2,55,0,2,37.5,0,2,7.5,0,2,45,0,2
"17","Hawaii",145220,"(5,10]",9.390280253952,-155.8775168,NA,NA,20.095834,2133.3,22.5,NA,1,52.5,NA,1,40,NA,1,7.5,NA,1,47.5,NA,1
"18","Hawaii",145690,"(10,15]",10.668,-155.87549,NA,NA,20.09202,20,NA,NA,1,49.09,NA,1,14.55,NA,1,36.36,NA,1,50.91,NA,1
"19","Hawaii",145690,"(5,10]",9.144500244624,-155.87599385,NA,NA,20.09388038,3821.6,25,3.53553390593274,2,46.25,1.76776695296637,2,42.5,0,2,11.25,1.76776695296637,2,53.75,1.76776695296637,2
"20","Hawaii",146161,"(5,10]",9.837758886552,-155.8718416,NA,NA,20.0872948,2667.5,45,NA,1,40,NA,1,45,NA,1,15,NA,1,60,NA,1
"21","Hawaii",146631,"(10,15]",10.060266940392,-155.8709724,NA,NA,20.08514774,2709.7,30,NA,1,42.5,NA,1,42.5,NA,1,15,NA,1,57.5,NA,1
"22","Hawaii",146632,"(5,10]",8.202643071192,-155.8691988,NA,NA,20.08356882,2765,37.5,NA,1,52.5,NA,1,32.5,NA,1,15,NA,1,47.5,NA,1
"23","Hawaii",147102,"(10,15]",11.056913349432,-155.8662509,NA,NA,20.07951759,2361.3,45,NA,1,40,NA,1,37.5,NA,1,22.5,NA,1,60,NA,1
"24","Hawaii",147102,"(5,10]",9.190263893508,-155.86661475,NA,NA,20.07938515,5673.8,45,10.6066017177982,2,45,7.07106781186548,2,32.5,3.53553390593274,2,22.5,3.53553390593274,2,55,7.07106781186548,2
"25","Hawaii",147573,"(10,15]",14.0208,-155.86452,NA,NA,20.07392,20,NA,NA,2,48.7,3.95979797464467,2,19.35,2.33345237791561,2,32.35,6.29325035256027,2,51.7,3.95979797464467,2
"26","Hawaii",147573,"(5,10]",8.545120595532,-155.8632239,NA,NA,20.0746718,5427.7,32.5,7.07106781186548,2,38.75,1.76776695296637,2,31.25,1.76776695296637,2,30,3.53553390593274,2,61.25,1.76776695296637,2
"27","Hawaii",147574,"(5,10]",7.474409281536,-155.8602932,NA,NA,20.0734044,2227.2,32.5,NA,1,37.5,NA,1,30,NA,1,32.5,NA,1,62.5,NA,1
"28","Hawaii",148044,"(5,10]",9.204285959952,-155.857390466667,NA,NA,20.0700813666667,6246,30,6.61437827766148,3,35.8333333333333,8.77971146071062,3,35.8333333333333,3.81881307912987,3,28.3333333333333,7.21687836487032,3,64.1666666666667,8.77971146071062,3
"29","Hawaii",148515,"(10,15]",10.420497039336,-155.85349515,NA,NA,20.06448005,4136.2,25,0,2,42.5,3.53553390593274,2,18.75,1.76776695296637,2,38.75,1.76776695296637,2,57.5,3.53553390593274,2
"30","Hawaii",148515,"(5,10]",8.943800237592,-155.8551998,NA,NA,20.06681232,2269.1,27.5,NA,1,42.5,NA,1,20,NA,1,37.5,NA,1,57.5,NA,1
"31","Hawaii",148985,"(5,10]",8.57269587744,-155.8518307,NA,NA,20.06240877,2076.9,25,NA,1,40,NA,1,15,NA,1,45,NA,1,60,NA,1
"32","Hawaii",148986,"(10,15]",12.252954693816,-155.8496002,NA,NA,20.06032389,2047.4,27.5,NA,2,31.465759715,8.53370444966509,2,32.186319615,10.1629906630808,2,36.347920665,1.62928622048678,2,68.535,8.53477884892162,2
"33","Hawaii",148986,"(5,10]",7.211227381812,-155.8486755,NA,NA,20.059967095,1924.1,32.5,NA,2,24.039805465,8.428987945779,2,33.298995575,11.7365520962393,2,42.66119896,3.3075641504603,2,75.96,8.42871283174365,2
"34","Hawaii",149456,"(5,10]",8.391500220528,-155.8476224,NA,NA,20.05888954,2367.1,32.5,NA,1,27.5,NA,1,27.5,NA,1,45,NA,1,72.5,NA,1
"35","Hawaii",149457,"(5,10]",8.892650237784,-155.8460193,NA,NA,20.05752677,2181.8,30,NA,1,42.5,NA,1,20,NA,1,37.5,NA,1,57.5,NA,1
"36","Hawaii",149928,"(5,10]",8.8392,-155.84073,NA,NA,20.05033,20,NA,NA,1,36.88,NA,1,17.02,NA,1,46.1,NA,1,63.12,NA,1
"37","Hawaii",151809,"(10,15]",13.716,-155.8371419,NA,NA,20.03566884,30,NA,NA,1,16.52844232,NA,1,37.57398547,NA,1,45.89757221,NA,1,83.47,NA,1
"38","Hawaii",151809,"(5,10]",6.096,-155.8366193,NA,NA,20.03571024,30,NA,NA,1,8.573521059,NA,1,36.48372343,NA,1,54.94275551,NA,1,91.43,NA,1
"39","Hawaii",153220,"(10,15]",13.716,-155.8312052,NA,NA,20.02040296,30,NA,NA,1,23.66495303,NA,1,48.50065055,NA,1,27.83439642,NA,1,76.34,NA,1
"40","Hawaii",153220,"(5,10]",6.096,-155.8299388,NA,NA,20.02049558,30,NA,NA,1,8.867117098,NA,1,39.90206144,NA,1,51.23082146,NA,1,91.13,NA,1
"41","Hawaii",155100,"(5,10]",6.096,-155.8289395,NA,NA,20.00066668,30,NA,NA,1,44.32562879,NA,1,24.09248305,NA,1,31.58188816,NA,1,55.67,NA,1
"42","Hawaii",155570,"(10,15]",11.874262432152,-155.8306234,NA,NA,19.99843466,2551.4,22.5,NA,2,49.01436283,2.1416324525397,2,15.672835935,6.11953410733649,2,35.312801235,3.97790165479679,2,50.985,2.14253354699524,2
"43","Hawaii",156040,"(10,15]",10.196574049032,-155.8297931,NA,NA,19.99488087,2371.4,12.5,NA,1,45,NA,1,20,NA,1,35,NA,1,55,NA,1
"44","Hawaii",156040,"(5,10]",9.933410106984,-155.829342,NA,NA,19.99293391,2373.8,10,NA,1,50,NA,1,20,NA,1,30,NA,1,50,NA,1
"45","Hawaii",156510,"(5,10]",8.804000233728,-155.8309914,NA,NA,19.98909909,7636.4,12.1666666666667,9.43839675651185,3,46.6666666666667,5.77350269189626,3,21.6666666666667,2.88675134594813,3,31.6666666666667,7.63762615825973,3,53.3333333333333,5.77350269189626,3
"46","Hawaii",156979,"(10,15]",13.716,-155.8338009,NA,NA,19.98668592,30,NA,NA,1,22.12907476,NA,1,47.27942114,NA,1,30.5915041,NA,1,77.87,NA,1
"47","Hawaii",156980,"(5,10]",8.462098584792,-155.832546266667,NA,NA,19.9852561466667,4929.6,10,3.53553390593274,3,29.9245191903333,19.6560943910631,3,32.0033733666667,20.7904525332858,3,38.0721074433333,1.7149679166539,3,70.0766666666667,19.6581441986097,3
"48","Hawaii",157449,"(5,10]",9.591655450896,-155.8342681,NA,NA,19.980988245,4992.5,16.25,1.76776695296637,2,45,0,2,21.25,1.76776695296637,2,33.75,1.76776695296637,2,55,0,2
"49","Hawaii",158386,"(10,15]",10.0584,-155.8488447,NA,NA,19.9700090275,60,NA,NA,4,37.52729885,15.6360814222163,4,25.2742474,8.15965528922395,4,37.19845375,7.96183416244165,4,62.4725,15.6357397756976,4
"50","Hawaii",158386,"(5,10]",6.096,-155.8487844,NA,NA,19.96988347,30,NA,NA,1,16.05417529,NA,1,48.87853692,NA,1,35.06728778,NA,1,83.95,NA,1
"51","Hawaii",159793,"(10,15]",11.613918353784,-155.8620023,NA,NA,19.95677019,2955.8,10,NA,1,62.5,NA,1,15,NA,1,22.5,NA,1,37.5,NA,1
"52","Hawaii",160262,"(10,15]",13.716,-155.8663579,NA,NA,19.95298522,30,NA,NA,1,9.135293627,NA,1,59.94862752,NA,1,30.91607886,NA,1,90.86,NA,1
"53","Hawaii",160262,"(5,10]",7.487041101456,-155.8662952,NA,NA,19.95183124,2626.4,45,NA,2,29.928321755,17.7790378758698,2,45.62818903,7.95946125782548,2,24.443489215,9.81957661804431,2,70.07,17.7766644790298,2
"54","Hawaii",160263,"(10,15]",10.424754382104,-155.8631856,NA,NA,19.95472304,2448.5,20,NA,1,65,NA,1,20,NA,1,15,NA,1,35,NA,1
"55","Hawaii",160263,"(5,10]",8.085295293696,-155.8647374,NA,NA,19.95293604,2699.3,40,NA,1,55,NA,1,32.5,NA,1,12.5,NA,1,45,NA,1
"56","Hawaii",160731,"(10,15]",13.764738093792,-155.8724717,NA,NA,19.9468605,3067.6,22.5,NA,1,62.5,NA,1,12.5,NA,1,25,NA,1,37.5,NA,1
"57","Hawaii",160731,"(5,10]",9.439852712592,-155.8709932,NA,NA,19.94906047,2741.9,22.5,NA,1,60,NA,1,15,NA,1,25,NA,1,40,NA,1
"58","Hawaii",160732,"(5,10]",5.243049299256,-155.8690296,NA,NA,19.95066081,2719.6,35,NA,1,50,NA,1,30,NA,1,20,NA,1,50,NA,1
"59","Hawaii",161199,"(10,15]",11.503300319496,-155.8786541,NA,NA,19.94242233,2392.5,15,NA,1,55,NA,1,22.5,NA,1,22.5,NA,1,45,NA,1
"60","Hawaii",161200,"(10,15]",11.042869157556,-155.8756391,NA,NA,19.944520915,5628.7,12.5,3.53553390593274,2,57.5,17.6776695296637,2,26.25,12.3743686707646,2,16.25,5.30330085889911,2,42.5,17.6776695296637,2
"61","Hawaii",162138,"(10,15]",13.716,-155.8847849,NA,NA,19.93513369,30,NA,NA,1,21.22490642,NA,1,42.01473804,NA,1,36.76035554,NA,1,78.78,NA,1
"62","Hawaii",162138,"(5,10]",6.096,-155.8842603,NA,NA,19.93455534,30,NA,NA,1,29.24374235,NA,1,49.76213401,NA,1,20.99412364,NA,1,70.76,NA,1
"63","Hawaii",164485,"(10,15]",13.716,-155.9006093,NA,NA,19.9140211,30,NA,NA,1,29.93256529,NA,1,39.45425393,NA,1,30.61318078,NA,1,70.07,NA,1
"64","Hawaii",164485,"(5,10]",6.096,-155.898741,NA,NA,19.91363838,30,NA,NA,1,17.97801748,NA,1,47.27517627,NA,1,34.74680625,NA,1,82.02,NA,1
"65","Hawaii",165423,"(10,15]",10.183639623288,-155.9066979,NA,NA,19.90164513,2000.8,32.5,NA,1,55,NA,1,17.5,NA,1,27.5,NA,1,45,NA,1
"66","Hawaii",165424,"(10,15]",10.1484429012,-155.9026697,NA,NA,19.90580181,2221.6,25,NA,1,67.5,NA,1,17.5,NA,1,15,NA,1,32.5,NA,1
"67","Hawaii",165424,"(5,10]",8.89181990772,-155.90480185,NA,NA,19.903698315,4215.8,32.5,7.07106781186548,2,58.75,1.76776695296637,2,15,0,2,26.25,1.76776695296637,2,41.25,1.76776695296637,2
"68","Hawaii",165892,"(10,15]",10.504967500824,-155.9102088,NA,NA,19.89749162,1985.8,20,NA,1,55,NA,1,17.5,NA,1,27.5,NA,1,45,NA,1
"69","Hawaii",165893,"(5,10]",8.614000227648,-155.9088116,NA,NA,19.89903423,4082,36.25,1.76776695296637,3,58.7933333333333,1.25225130598188,3,17.4133333333333,2.37118816911129,3,23.7933333333333,2.09000797446645,3,41.2066666666667,1.25225130598188,3
"70","Hawaii",166362,"(10,15]",12.944836435656,-155.9105071,NA,NA,19.89560433,2355.4,10,NA,1,60,NA,1,15,NA,1,25,NA,1,40,NA,1
"71","Hawaii",166363,"(10,15]",11.514541300824,-155.9092941,NA,NA,19.89411043,2109.4,15,NA,1,57.5,NA,1,15,NA,1,27.5,NA,1,42.5,NA,1
"72","Hawaii",166363,"(5,10]",9.513266922888,-155.908256,NA,NA,19.892585,2244.4,15,NA,1,55,NA,1,25,NA,1,20,NA,1,45,NA,1
"73","Hawaii",166833,"(10,15]",13.716,-155.9100545,NA,NA,19.89112342,30,NA,NA,1,58.47140618,NA,1,24.45718375,NA,1,17.07141006,NA,1,41.53,NA,1
"74","Hawaii",166833,"(5,10]",6.096,-155.9079331,NA,NA,19.89079074,30,NA,NA,1,37.16815098,NA,1,32.40033927,NA,1,30.43150975,NA,1,62.83,NA,1
"75","Hawaii",168710,"(10,15]",13.716,-155.9220196,NA,NA,19.87313644,30,NA,NA,1,51.0060696,NA,1,14.14528078,NA,1,34.84864963,NA,1,48.99,NA,1
"76","Hawaii",168710,"(5,10]",6.096,-155.922528,NA,NA,19.87344406,30,NA,NA,1,54.30129037,NA,1,16.50478801,NA,1,29.19392162,NA,1,45.7,NA,1
"77","Hawaii",169179,"(5,10]",9.7536,-155.92432,NA,NA,19.86904,14,NA,NA,1,55.97,NA,1,10.92,NA,1,33.11,NA,1,44.03,NA,1
"78","Hawaii",169648,"(5,10]",8.745721544088,-155.9294926,NA,NA,19.86131942,2211.2,25,NA,1,70,NA,1,12.5,NA,1,17.5,NA,1,30,NA,1
"79","Hawaii",169649,"(10,15]",10.9728,-155.92772,NA,NA,19.86232,10.5,NA,NA,1,50.38,NA,1,30.08,NA,1,19.55,NA,1,49.62,NA,1
"80","Hawaii",169649,"(5,10]",9.880606824732,-155.9270966,NA,NA,19.862370855,4702.4,21.25,8.83883476483184,2,68.75,5.30330085889911,2,16.25,1.76776695296637,2,15,3.53553390593274,2,31.25,5.30330085889911,2
"81","Hawaii",170117,"(5,10]",9.329369102724,-155.9336505,NA,NA,19.85801432,4949.5,18.75,1.76776695296637,2,76.25,1.76776695296637,2,10,0,2,13.75,1.76776695296637,2,23.75,1.76776695296637,2
"82","Hawaii",170118,"(5,10]",9.06075433998,-155.93157135,NA,NA,19.86024307,3991.5,22.5,3.53553390593274,2,66.25,5.30330085889911,2,16.25,1.76776695296637,2,17.5,3.53553390593274,2,33.75,5.30330085889911,2
"83","Hawaii",170580,"(5,10]",9.966492074856,-155.9654226,NA,NA,19.8522618,2204.7,30,NA,1,57.5,NA,1,12.5,NA,1,30,NA,1,42.5,NA,1
"84","Hawaii",170581,"(5,10]",8.891729744832,-155.96252395,NA,NA,19.85298906,4316.1,57.5,0,2,63.75,5.30330085889911,2,15,0,2,21.25,5.30330085889911,2,36.25,5.30330085889911,2
"85","Hawaii",170582,"(10,15]",13.716,-155.9582648,NA,NA,19.85339941,30,NA,NA,1,44.78797261,NA,1,36.15442349,NA,1,19.0576039,NA,1,55.21,NA,1
"86","Hawaii",170582,"(5,10]",6.096,-155.9584434,NA,NA,19.85392772,30,NA,NA,1,59.66462166,NA,1,19.11943183,NA,1,21.21594652,NA,1,40.34,NA,1
"87","Hawaii",170584,"(10,15]",10.3632,-155.94743,NA,NA,19.85507,15.3,NA,NA,1,76.22,NA,1,12.94,NA,1,10.84,NA,1,23.78,NA,1
"88","Hawaii",170587,"(10,15]",10.408500285072,-155.93485,NA,NA,19.85383354,4111.2,8.75,12.3743686707646,3,65.26225669,30.9117628737727,3,16.8833543233333,14.8918280542268,3,17.8543889866667,16.0442002499848,3,34.7366666666667,30.9104841976526,3
"89","Hawaii",170587,"(5,10]",7.94359849314,-155.93464455,NA,NA,19.85551429,2164.5,20,NA,2,65.331064245,10.1384061725024,2,20.270959885,3.91872905015879,2,14.39797587,6.21967712234361,2,34.67,10.1399112422151,2
"90","Hawaii",171049,"(5,10]",7.98970020828,-155.9694246,NA,NA,19.85029959,2419.3,47.5,NA,1,67.5,NA,1,12.5,NA,1,20,NA,1,32.5,NA,1
