"","X","FILENAME","SEQ","Observation_IDnum","Dataset_Name","Dataset_IDnum","Organization_Name","Observer_Name","Island_Name","Region_Name","Site_Name","SiteID_InternalToYourProject","Depth_ft","Longitude_DD","Latitude_DD","ObservationDate","Bleaching_YNas10","AreaSurveyed_m2","PercentLiveCoralCover","PctCoralUnbleached","PctCoralPartialBleached","PctCoralFullyBleached","PctAffected","PctCoralBins","Comments_Observation","Other_1","Dataset_IDnum.1","Dataset_Name.1","DataAvailabilityCode_12345","DataProvidedNow_YNas10","UploadDate","InstitutionDataOwner","PublicMandate_YNas10","DataYear","Geographic_Area","Dataset_Description","TotalAreaSurveyed_m2","Method_Name_PercentLiveCoralCover","Method_Name_Bleaching","Method_Name_AreaSurveyed","Method_IDnum_PercentLiveCoralCover","Method_IDnum_Bleaching","Method_IDnum_AreaSurveyed","SupplierOfDataset","OwnerOfRecordForDataset","DataAuthors","DataManager","Comments_Dataset","CrossRefOther_Dataset_Name","CrossRefOther_Dataset_IDnum","Method_IDnum","Method_Name","Method.Purpose","Method.NARRATIVE","METHOD.NOTE","ObservationDate_R","ORG_OBS","IslandKB","Depth_m","DepthBin_5m","Year","RasterAddress_2km","Longitude_RAS_2km","Latitude_RAS_2km","RasterAddress_1km","Longitude_RAS_1km","Latitude_RAS_1km","RasterAddress_500m","Longitude_RAS_500m","Latitude_RAS_500m","RasterAddress_250m","Longitude_RAS_250m","Latitude_RAS_250m","coords.x1","coords.x2"
"1",111,"02-1_NOAA-CREP_MHI_hcbc-Pomeroy-Oliver.xlsx",618,"20151118109","NOAA_MHI_BLEACH_2337","999","NOAA-CREP","CREP-TOW","Oahu","MHI","20151118109_OAH","20151118109_OAH",14.54292767,-157.8454928,21.27997104,"2015/11/18","N",3428.7,15,82.5,17.5,0,17.5,"15-70-15","","","D001","NOAA_MHI_BLEACH_2015",1,"Y","10/5/16","NOAA","Y","2015","Main Hawaiian Islands, south Oahu, west Maui, LanaêI, west Hawaii","In an effort to assess the impact of the 2015 coral bleaching event in Hawii on an interisland scale, towed-divers collected visual estimates of percentage of live coral that was pale and bleached, as well as presence/absence data of condition by generic composition.  ","926452.3","Towboard Survey","Towboard Survey","Towboard Survey","M06","M06","M06","NOAA CREP","NOAA CREP","Noah Pomeroy, Thomas Oliver","Troy Kanemura",NA,"","","M06","Towboard Survey","PERCENTLIVECOVER, BLEACHINGASSESSMENT, PERCENTPALE, PERCENTBLEACHED",NA,NA,2015-11-18,"NOAA-CREP CREP-TOW","Oahu - Other",5.932684353816,"(5,10]",2015,1304,-157.848495358051,21.2800046511628,5182,-157.843568214681,21.2837126848249,21173,-157.845821714362,21.2818550679612,85677,-157.844803927577,21.2807291067961,-157.8454928,21.27997104
"2",112,"02-1_NOAA-CREP_MHI_hcbc-Pomeroy-Oliver.xlsx",637,"20151118308","NOAA_MHI_BLEACH_2356","999","NOAA-CREP","CREP-TOW","Oahu","MHI","20151118308_OAH","20151118308_OAH",14.99527607,-157.9144355,21.29482253,"2015/11/18","Y",2848.6,30,89.5,10,0.5,10.5,"15-70-15","","","D001","NOAA_MHI_BLEACH_2015",1,"Y","10/5/16","NOAA","Y","2015","Main Hawaiian Islands, south Oahu, west Maui, LanaêI, west Hawaii","In an effort to assess the impact of the 2015 coral bleaching event in Hawii on an interisland scale, towed-divers collected visual estimates of percentage of live coral that was pale and bleached, as well as presence/absence data of condition by generic composition.  ","926452.3","Towboard Survey","Towboard Survey","Towboard Survey","M06","M06","M06","NOAA CREP","NOAA CREP","Noah Pomeroy, Thomas Oliver","Troy Kanemura",NA,"","","M06","Towboard Survey","PERCENTLIVECOVER, BLEACHINGASSESSMENT, PERCENTPALE, PERCENTBLEACHED",NA,NA,2015-11-18,"NOAA-CREP CREP-TOW","Oahu - Other",6.070560146136,"(5,10]",2015,1182,-157.920301788559,21.2979851162791,4939,-157.915680204468,21.2927378988327,19748,-157.913426704787,21.2953666019417,80000,-157.914588179118,21.2942406407767,-157.9144355,21.29482253
"3",113,"02-1_NOAA-CREP_MHI_hcbc-Pomeroy-Oliver.xlsx",636,"20151118307","NOAA_MHI_BLEACH_2355","999","NOAA-CREP","CREP-TOW","Oahu","MHI","20151118307_OAH","20151118307_OAH",17.13898665,-157.9169955,21.29524312,"2015/11/18","Y",2591.5,35,84.9,15,0.1,15.1,"15-70-15","","","D001","NOAA_MHI_BLEACH_2015",1,"Y","10/5/16","NOAA","Y","2015","Main Hawaiian Islands, south Oahu, west Maui, LanaêI, west Hawaii","In an effort to assess the impact of the 2015 coral bleaching event in Hawii on an interisland scale, towed-divers collected visual estimates of percentage of live coral that was pale and bleached, as well as presence/absence data of condition by generic composition.  ","926452.3","Towboard Survey","Towboard Survey","Towboard Survey","M06","M06","M06","NOAA CREP","NOAA CREP","Noah Pomeroy, Thomas Oliver","Troy Kanemura",NA,"","","M06","Towboard Survey","PERCENTLIVECOVER, BLEACHINGASSESSMENT, PERCENTPALE, PERCENTBLEACHED",NA,NA,2015-11-18,"NOAA-CREP CREP-TOW","Oahu - Other",6.72396313092,"(5,10]",2015,1182,-157.920301788559,21.2979851162791,4939,-157.915680204468,21.2927378988327,19747,-157.917933704149,21.2953666019417,79999,-157.916839284006,21.2942406407767,-157.9169955,21.29524312
"4",114,"02-1_NOAA-CREP_MHI_hcbc-Pomeroy-Oliver.xlsx",621,"20151118202","NOAA_MHI_BLEACH_2340","999","NOAA-CREP","CREP-TOW","Oahu","MHI","20151118202_OAH","20151118202_OAH",12.21721723,-157.8011372,21.25223295,"2015/11/18","Y",2469.9,4,68.5,25,6.5,31.5,"15-70-15","","","D001","NOAA_MHI_BLEACH_2015",1,"Y","10/5/16","NOAA","Y","2015","Main Hawaiian Islands, south Oahu, west Maui, LanaêI, west Hawaii","In an effort to assess the impact of the 2015 coral bleaching event in Hawii on an interisland scale, towed-divers collected visual estimates of percentage of live coral that was pale and bleached, as well as presence/absence data of condition by generic composition.  ","926452.3","Towboard Survey","Towboard Survey","Towboard Survey","M06","M06","M06","NOAA CREP","NOAA CREP","Noah Pomeroy, Thomas Oliver","Troy Kanemura",NA,"","","M06","Towboard Survey","PERCENTLIVECOVER, BLEACHINGASSESSMENT, PERCENTPALE, PERCENTBLEACHED",NA,NA,2015-11-18,"NOAA-CREP CREP-TOW","Oahu - Other",5.223807811704,"(5,10]",2015,1543,-157.794640535169,21.2440437209302,5892,-157.798498221064,21.2566370428016,24473,-157.800751720745,21.2503281553398,97929,-157.802032934697,21.2514541165049,-157.8011372,21.25223295
"5",115,"02-1_NOAA-CREP_MHI_hcbc-Pomeroy-Oliver.xlsx",616,"20151118107","NOAA_MHI_BLEACH_2335","999","NOAA-CREP","CREP-TOW","Oahu","MHI","20151118107_OAH","20151118107_OAH",12.87266522,-157.8495694,21.28197728,"2015/11/18","Y",2460.7,10,80,17.5,2.5,20,"15-70-15","","","D001","NOAA_MHI_BLEACH_2015",1,"Y","10/5/16","NOAA","Y","2015","Main Hawaiian Islands, south Oahu, west Maui, LanaêI, west Hawaii","In an effort to assess the impact of the 2015 coral bleaching event in Hawii on an interisland scale, towed-divers collected visual estimates of percentage of live coral that was pale and bleached, as well as presence/absence data of condition by generic composition.  ","926452.3","Towboard Survey","Towboard Survey","Towboard Survey","M06","M06","M06","NOAA CREP","NOAA CREP","Noah Pomeroy, Thomas Oliver","Troy Kanemura",NA,"","","M06","Towboard Survey","PERCENTLIVECOVER, BLEACHINGASSESSMENT, PERCENTPALE, PERCENTBLEACHED",NA,NA,2015-11-18,"NOAA-CREP CREP-TOW","Oahu - Other",5.423588359056,"(5,10]",2015,1304,-157.848495358051,21.2800046511628,5181,-157.852582213404,21.2837126848249,21172,-157.850328713723,21.2818550679612,84734,-157.849306137354,21.2829810291262,-157.8495694,21.28197728
"6",116,"02-1_NOAA-CREP_MHI_hcbc-Pomeroy-Oliver.xlsx",627,"20151118208","NOAA_MHI_BLEACH_2346","999","NOAA-CREP","CREP-TOW","Oahu","MHI","20151118208_OAH","20151118208_OAH",18.03776006,-157.7903794,21.25562942,"2015/11/18","Y",2377.8,2.5,78,21.5,0.5,22,"15-70-15","","","D001","NOAA_MHI_BLEACH_2015",1,"Y","10/5/16","NOAA","Y","2015","Main Hawaiian Islands, south Oahu, west Maui, LanaêI, west Hawaii","In an effort to assess the impact of the 2015 coral bleaching event in Hawii on an interisland scale, towed-divers collected visual estimates of percentage of live coral that was pale and bleached, as well as presence/absence data of condition by generic composition.  ","926452.3","Towboard Survey","Towboard Survey","Towboard Survey","M06","M06","M06","NOAA CREP","NOAA CREP","Noah Pomeroy, Thomas Oliver","Troy Kanemura",NA,"","","M06","Towboard Survey","PERCENTLIVECOVER, BLEACHINGASSESSMENT, PERCENTPALE, PERCENTBLEACHED",NA,NA,2015-11-18,"NOAA-CREP CREP-TOW","Oahu - Other",6.997909266288,"(5,10]",2015,1425,-157.794640535169,21.2620241860465,5893,-157.78948422234,21.2566370428016,24005,-157.791737722021,21.254832,96052,-157.790777410255,21.255957961165,-157.7903794,21.25562942
"7",117,"02-1_NOAA-CREP_MHI_hcbc-Pomeroy-Oliver.xlsx",611,"20151118102","NOAA_MHI_BLEACH_2330","999","NOAA-CREP","CREP-TOW","Oahu","MHI","20151118102_OAH","20151118102_OAH",11.61019356,-157.8579347,21.28693287,"2015/11/18","Y",2363.5,10,83,15.5,1.5,17,"15-70-15","","","D001","NOAA_MHI_BLEACH_2015",1,"Y","10/5/16","NOAA","Y","2015","Main Hawaiian Islands, south Oahu, west Maui, LanaêI, west Hawaii","In an effort to assess the impact of the 2015 coral bleaching event in Hawii on an interisland scale, towed-divers collected visual estimates of percentage of live coral that was pale and bleached, as well as presence/absence data of condition by generic composition.  ","926452.3","Towboard Survey","Towboard Survey","Towboard Survey","M06","M06","M06","NOAA CREP","NOAA CREP","Noah Pomeroy, Thomas Oliver","Troy Kanemura",NA,"","","M06","Towboard Survey","PERCENTLIVECOVER, BLEACHINGASSESSMENT, PERCENTPALE, PERCENTBLEACHED",NA,NA,2015-11-18,"NOAA-CREP CREP-TOW","Oahu - Other",5.038786997088,"(5,10]",2015,1303,-157.866446965678,21.2800046511628,5180,-157.861596212128,21.2837126848249,20700,-157.859342712447,21.2863589126214,82848,-157.858310556908,21.2874848737864,-157.8579347,21.28693287
"8",118,"02-1_NOAA-CREP_MHI_hcbc-Pomeroy-Oliver.xlsx",635,"20151118306","NOAA_MHI_BLEACH_2354","999","NOAA-CREP","CREP-TOW","Oahu","MHI","20151118306_OAH","20151118306_OAH",14.24157963,-157.9191543,21.29594343,"2015/11/18","N",2358.8,40,85,15,0,15,"15-70-15","","","D001","NOAA_MHI_BLEACH_2015",1,"Y","10/5/16","NOAA","Y","2015","Main Hawaiian Islands, south Oahu, west Maui, LanaêI, west Hawaii","In an effort to assess the impact of the 2015 coral bleaching event in Hawii on an interisland scale, towed-divers collected visual estimates of percentage of live coral that was pale and bleached, as well as presence/absence data of condition by generic composition.  ","926452.3","Towboard Survey","Towboard Survey","Towboard Survey","M06","M06","M06","NOAA CREP","NOAA CREP","Noah Pomeroy, Thomas Oliver","Troy Kanemura",NA,"","","M06","Towboard Survey","PERCENTLIVECOVER, BLEACHINGASSESSMENT, PERCENTPALE, PERCENTBLEACHED",NA,NA,2015-11-18,"NOAA-CREP CREP-TOW","Oahu - Other",5.840833471224,"(5,10]",2015,1182,-157.920301788559,21.2979851162791,4939,-157.915680204468,21.2927378988327,19747,-157.917933704149,21.2953666019417,79057,-157.919090388895,21.2964925631068,-157.9191543,21.29594343
"9",119,"02-1_NOAA-CREP_MHI_hcbc-Pomeroy-Oliver.xlsx",626,"20151118207","NOAA_MHI_BLEACH_2345","999","NOAA-CREP","CREP-TOW","Oahu","MHI","20151118207_OAH","20151118207_OAH",18.32928755,-157.7916161,21.25382664,"2015/11/18","Y",2344.5,3,79.5,20,0.5,20.5,"15-70-15","","","D001","NOAA_MHI_BLEACH_2015",1,"Y","10/5/16","NOAA","Y","2015","Main Hawaiian Islands, south Oahu, west Maui, LanaêI, west Hawaii","In an effort to assess the impact of the 2015 coral bleaching event in Hawii on an interisland scale, towed-divers collected visual estimates of percentage of live coral that was pale and bleached, as well as presence/absence data of condition by generic composition.  ","926452.3","Towboard Survey","Towboard Survey","Towboard Survey","M06","M06","M06","NOAA CREP","NOAA CREP","Noah Pomeroy, Thomas Oliver","Troy Kanemura",NA,"","","M06","Towboard Survey","PERCENTLIVECOVER, BLEACHINGASSESSMENT, PERCENTPALE, PERCENTBLEACHED",NA,NA,2015-11-18,"NOAA-CREP CREP-TOW","Oahu - Other",7.08676684524,"(5,10]",2015,1425,-157.794640535169,21.2620241860465,5893,-157.78948422234,21.2566370428016,24005,-157.791737722021,21.254832,96993,-157.790777410255,21.253706038835,-157.7916161,21.25382664
"10",120,"02-1_NOAA-CREP_MHI_hcbc-Pomeroy-Oliver.xlsx",629,"20151118210","NOAA_MHI_BLEACH_2348","999","NOAA-CREP","CREP-TOW","Oahu","MHI","20151118210_OAH","20151118210_OAH",12.3689035,-157.7866947,21.25773202,"2015/11/18","Y",2313.9,5,70,20,10,30,"15-70-15","","","D001","NOAA_MHI_BLEACH_2015",1,"Y","10/5/16","NOAA","Y","2015","Main Hawaiian Islands, south Oahu, west Maui, LanaêI, west Hawaii","In an effort to assess the impact of the 2015 coral bleaching event in Hawii on an interisland scale, towed-divers collected visual estimates of percentage of live coral that was pale and bleached, as well as presence/absence data of condition by generic composition.  ","926452.3","Towboard Survey","Towboard Survey","Towboard Survey","M06","M06","M06","NOAA CREP","NOAA CREP","Noah Pomeroy, Thomas Oliver","Troy Kanemura",NA,"","","M06","Towboard Survey","PERCENTLIVECOVER, BLEACHINGASSESSMENT, PERCENTPALE, PERCENTBLEACHED",NA,NA,2015-11-18,"NOAA-CREP CREP-TOW","Oahu - Other",5.2700417868,"(5,10]",2015,1425,-157.794640535169,21.2620241860465,5893,-157.78948422234,21.2566370428016,23536,-157.78723072266,21.2593358446602,95113,-157.786275200478,21.2582098834951,-157.7866947,21.25773202
